"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:3LMQL9CSxvUP2m8FeFszP6","Wann dann","spotify:artist:4WZGDpNwrC0vNQyl9QzF7d, spotify:artist:1ReCqmDLLcp6Z0bCh2JDCA","Capital Bra, Capital T","spotify:album:7lMj2eyO1nGayMF5KYMh4p","Berlin lebt","1","15","189512","","2020-07-26T16:12:48Z"
"spotify:track:2EBCVPNAG46nbgs6jXPGvv","Starships","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:22F5ZYY1sxoJjk6HzZfmC1","Pink Friday: Roman Reloaded The Re-Up (Explicit Version)","2","10","210626","","2020-07-25T07:54:58Z"
"spotify:track:0Altlm3kLPob56k2qqR4i2","Money and the Power","spotify:artist:6KZDXtSj0SzGOV705nNeh3","Kid Ink","spotify:album:6qBNm8dkdowRUUrN7uwR11","My Own Lane (Expanded Edition)","1","16","207133","","2020-07-22T16:56:52Z"
"spotify:track:39Yp9wwQiSRIDOvrVg7mbk","THE SCOTTS","spotify:artist:2PaZWGu5T5nHjY2xxAkFsT, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","THE SCOTTS, Travis Scott, Kid Cudi","spotify:album:7q6zjWaLw8bN5nYiBWjrus","THE SCOTTS","1","1","165977","","2020-07-21T18:44:36Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","1","3","239835","","2020-07-21T18:37:07Z"
"spotify:track:7pYfyrMNPn3wtoCyqcTVoI","Moves Like Jagger - Studio Recording From The Voice Performance","spotify:artist:04gDigrS5kc9YWfZHwBETP, spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Maroon 5, Christina Aguilera","spotify:album:1snrPQMoTrBsKl73wzSxbn","Hands All Over (Revised International Standard version)","1","13","201493","","2020-07-20T11:31:20Z"
"spotify:track:61qXzQHMSwk3PStleYDJ2v","Feel the Melody (feat. Sara)","spotify:artist:11aa081aKYUzmeFm0yHdT2","S3RL","spotify:album:22XZGzHaecMdvPblP9f2Ic","Feel the Melody (feat. Sara)","1","1","232631","","2020-07-19T07:42:02Z"
"spotify:track:7fUWZUNj5qbEuoL6K9947g","Heute mit mir","spotify:artist:3ZuBEj9ppJe8GSdKaMTfMN","Nimo","spotify:album:3mGsvwzWyad9lRd1hhR89w","K¡K¡","1","5","221680","","2020-07-18T17:35:34Z"
"spotify:track:6XjEOPgbgHKcaHcunEHSJJ","UFF","spotify:artist:4VuARVJiWGsH2msKTdsKdQ, spotify:artist:5eioJDe26lOqkAMbuhzZYs","Veysel, Gzuz","spotify:album:4c8uuiJQch1vRKigQJgBWG","UFF","1","1","167626","","2020-07-18T15:56:19Z"
"spotify:track:1WoM4mof0Nl1xPtwf6h6ow","FLY","spotify:artist:5p7mWeX4RlvqBCxylfiXdE, spotify:artist:3drqpTL4sQOckmAfF9i1wg","KC Rebell, Summer Cem","spotify:album:4Ve9yWpcqa5lmjcp7UKK7h","FLY","1","1","174893","","2020-07-17T07:53:04Z"
"spotify:track:2rxxXYtTIFKyrhJpofeoIX","valla nein! (feat. Luciano)","spotify:artist:5p7mWeX4RlvqBCxylfiXdE, spotify:artist:3drqpTL4sQOckmAfF9i1wg, spotify:artist:3CJKkU0XuElRT1z8rEtIYg","KC Rebell, Summer Cem, Luciano","spotify:album:2Qhq1PHID06iBhMUzryH8Z","valla nein! (feat. Luciano)","1","1","182040","","2020-07-17T07:53:04Z"
"spotify:track:1louJpMmzEicAn7lzDalPW","No Promises (feat. Demi Lovato)","spotify:artist:7DMveApC7UnC2NPfPvlHSU, spotify:artist:6S2OmqARrzebs0tKUEyXyp","Cheat Codes, Demi Lovato","spotify:album:6301sWkK7hVwcrhcEwKPcH","No Promises (feat. Demi Lovato)","1","1","223503","","2020-07-15T14:54:15Z"
"spotify:track:5RzFJd6W40SDTyZkX6xx45","I Know You Want Me (Calle Ocho)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","spotify:album:00zN65JStpVnpJn9ckMsQI","Pitbull Starring In Rebelution","1","3","237120","","2020-07-13T15:15:23Z"
"spotify:track:3US6RbELvvrPw3DcvtJmis","Komm Komm","spotify:artist:4WZGDpNwrC0vNQyl9QzF7d","Capital Bra","spotify:album:0yzVgCBXBGlezXjtLUPk61","Komm Komm","1","1","160666","","2020-07-08T18:55:02Z"
"spotify:track:24ySl2hOPGCDcxBxFIqWBu","Rain On Me (with Ariana Grande)","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Lady Gaga, Ariana Grande","spotify:album:4TqgXMSSTwP3RCo3MMSR6t","Rain On Me (with Ariana Grande)","1","1","182200","","2020-07-08T18:54:38Z"
"spotify:track:6cjSh516BbrNUs213jDAGm","Graduation (with Juice WRLD)","spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","benny blanco, Juice WRLD","spotify:album:669dgT2kmrAMrrPaEEHWyE","Graduation (with Juice WRLD)","1","1","177847","","2020-07-05T10:19:10Z"
"spotify:track:5Sco7mbJy7p7vdDtJW10fZ","Born For This","spotify:artist:2q3GG88dVwuQPF4FmySr9I","The Score","spotify:album:4enE8eppWJ9fQXLqTP2TDE","Pressure","1","4","234013","","2020-07-05T09:27:15Z"
"spotify:track:71vsEyBd4X1D5BUmLdFSVH","Black Widow","spotify:artist:5yG7ZAZafVaAlMTeBybKAL, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Iggy Azalea, Rita Ora","spotify:album:6lBTYoX7ZzU2Xbf8RHAv0u","The New Classic","1","10","209423","","2020-07-05T09:11:37Z"
"spotify:track:0i0wnv9UoFdZ5MfuFGQzMy","Last Hurrah","spotify:artist:64M6ah0SkkRsnPGtGiRAbb","Bebe Rexha","spotify:album:5ljc69MQ6iwGcJ4SmHaAh5","Last Hurrah","1","1","150333","","2020-07-05T09:08:47Z"
"spotify:track:7hzlzoOwCZ4D3Ow5YZK4kj","Insomnia","spotify:artist:6Dd3NScHWwnW6obMFbl1BH","Daya","spotify:album:673e3sPgdJWrPAIBvaKysa","Insomnia","1","1","179745","","2020-07-04T09:37:43Z"
"spotify:track:0znCw9dSfsrBGUtxAzd9kD","5 shots","spotify:artist:5i4BaWy8YIun1u3RXwmlWn","gianni & kyle","spotify:album:11Qj26GALY0xPZOn5Ser00","she's no angel","1","3","181709","","2020-07-04T07:57:51Z"
"spotify:track:51Of5p3lKZeOg6itfs4og4","Lovefool","spotify:artist:7ACEUD7UsmmXrnj4OLt8f9","twocolors","spotify:album:6UYWmM8RfG3DAKC7OyUPBT","Lovefool","1","1","190487","","2020-07-03T10:49:47Z"
"spotify:track:7hCl1n3ZTCLxQKAah9s2ox","Selfmade Babylon (feat. Bozza)","spotify:artist:13bDjug9N0pyv3ZUINjkDV, spotify:artist:4WoSAKuoaPxrbwp3Y1PvKb","Bausa, Bozza","spotify:album:7elUTrXEn0WEt869oWwA4r","Selfmade Babylon (feat. Bozza)","1","1","199933","","2020-07-03T10:20:19Z"
"spotify:track:0p3euGPg5LgFeQGC7bBFuR","XXL","spotify:artist:76dRoxKtDwYkgCQePok9cU, spotify:artist:3drqpTL4sQOckmAfF9i1wg, spotify:artist:3CJKkU0XuElRT1z8rEtIYg, spotify:artist:4sVieJlKgpZ2k9ESNS5IdN","Miksu / Macloud, Summer Cem, Luciano, Jamule","spotify:album:3SxCrf0o6l2jjooJ1mpkic","XXL","1","1","166173","","2020-07-03T10:04:46Z"
"spotify:track:43nTVV8UMUv3jVx5MpYEGO","Everybody","spotify:artist:6SbkdoreoUsexJVVmFAOFl","Elijah N","spotify:album:7GFDwR3G1jijRt07omeW6C","Forgetting This","1","5","181904","","2020-07-01T05:50:42Z"
"spotify:track:4GQVsXO7jkxg43UmAd1Tbb","South Beach","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","spotify:album:3QHzDk8ZjtraFSlNpRfzII","South Beach","1","1","201951","","2020-07-01T05:47:37Z"
"spotify:track:6lE0zLzuF1shwFU2bBlWl3","Everybody","spotify:artist:6SbkdoreoUsexJVVmFAOFl","Elijah N","spotify:album:7zM4SKCb1ht9MyaShVtY4g","Forgetting This","1","7","181904","","2020-06-30T17:49:16Z"
"spotify:track:7IFzFaNH46sLi8cwh5fMIB","Overtime - Vicetone Remix Edit","spotify:artist:1LOB7jTeEV14pHai6EXSzF, spotify:artist:0daugAjUgbJSqdlyYNwIbT","Cash Cash, Vicetone","spotify:album:4Ao2KsBo2f6lZkQt9Y8zIO","Overtime (Vicetone Remix)","1","1","203095","","2020-06-27T11:28:21Z"
"spotify:track:65Wn0KpbPXTVLNQNEMtK1j","Call On Me - Radio Edit","spotify:artist:5sm0jQ1mq0dusiLtDJ2b4R","Eric Prydz","spotify:album:3ukCPdSolXB251ff5wy8H5","Call On Me","1","1","171360","","2020-06-27T10:18:13Z"
"spotify:track:3TMW1GOB1lsmvf8er2dE8g","Lambo Diablo GT (feat. Nimo & Juju) - Remix","spotify:artist:5y9wg9qkGBl0n9v9RzaPKu, spotify:artist:3ZuBEj9ppJe8GSdKaMTfMN, spotify:artist:4sg4no0TXdsrM1s4SVUwNF","Capo, Nimo, Juju","spotify:album:78SjtioGS10lFchsD1XMH4","Lambo Diablo GT (feat. Nimo & Juju) [Remix]","1","1","317902","","2020-06-27T09:59:41Z"
"spotify:track:0tPQPaOKM32WgMSbPCYyRH","Dirty Sexy Money (feat. Charli XCX & French Montana)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6vXTefBL93Dj5IqAWq6OTv","David Guetta, Afrojack, Charli XCX, French Montana","spotify:album:613u1KxcevDq5Kd8j0zD2U","Dirty Sexy Money (feat. Charli XCX & French Montana)","1","1","172687","","2020-06-26T09:36:36Z"
"spotify:track:1Szod3mLKHywl09AOy08Xc","Spaceships","spotify:artist:76YIoWHp3Ri3q1ocOPtFzp","AREA21","spotify:album:7FdgB34edYkJcORi7dAXGi","Spaceships","1","1","169608","","2020-06-24T14:01:15Z"
"spotify:track:2QseMEJWXcMDLaWsGNYS2h","Vidorra","spotify:artist:49CE2ffZ6Z3zeYSDauSKck","Tungevaag","spotify:album:3DNb31StIH9ePAjYs90EWF","Vidorra","1","1","219384","","2020-06-24T13:37:50Z"
"spotify:track:0npfbfNxvDL4fZ3flLWZQL","Rave Religion (feat. Little Big)","spotify:artist:1ZyqnbV7Brg5LgyS4EZCUD, spotify:artist:0pnd3MP2rxAzljR9AqXUJB","FiNCH ASOZiAL, Little Big","spotify:album:2XTORm9FlIAjLcTqrguBhM","Finchi's Love Tape","1","11","182520","","2020-06-23T10:14:06Z"
"spotify:track:1ucAgkQ4EQDCSXQ2kEk99k","UNO","spotify:artist:0pnd3MP2rxAzljR9AqXUJB","Little Big","spotify:album:60kZ537D8BGp3GNkGdY0fD","UNO","1","1","160756","","2020-06-23T10:13:49Z"
"spotify:track:0cDwUAF7yQrOLRcFfJpSc2","Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:3eiAj6uPlzdAKagriQb3Hq","Zero (From the Original Motion Picture ""Ralph Breaks The Internet"")","1","1","210934","","2020-06-21T08:29:43Z"
"spotify:track:1KqvRRQd3lfM0pAlkGPrgD","Shape of You (feat. Nyla & Kranium) - Major Lazer Remix","spotify:artist:6eUKZXaKkcviH0Ku9w2n3V, spotify:artist:4VZY0nxYMSNotbS7WjNVQy, spotify:artist:1LKo6ZA3RNvKtLa6zDu32S, spotify:artist:738wLrAtLtCtFOLvQBXOXp","Ed Sheeran, Nyla, Kranium, Major Lazer","spotify:album:5j1qqBBmxrDu58pYAj8r9v","Shape of You (feat. Nyla & Kranium) [Major Lazer Remix]","1","1","192000","","2020-06-20T20:33:10Z"
"spotify:track:6h89vMWcUdukHrlEPNHX9f","Sweat - Remix","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:39unIFnj3C60Q4FtYdS7fW, spotify:artist:6mr36E8GEO5zhtL71GCrZ5","Snoop Dogg, David Guetta, Giorgio Tuinfort, Frederic Riesterer","spotify:album:4OQsRSuQ2D7DfnUY0XAbuM","Doggumentary","1","14","196453","","2020-06-20T20:13:07Z"
"spotify:track:6AFIVhbJLR7YVvW9fLFMu1","Huracan","spotify:artist:6h1s4i4XKIYv4ErDelLDN0, spotify:artist:4WZGDpNwrC0vNQyl9QzF7d","Samra, Capital Bra","spotify:album:33SXk8W4aUohvpdRLCIXq4","Huracan","1","1","182238","","2020-06-20T18:34:25Z"
"spotify:track:0FEk8LwY8h4rAR63ggfhV0","Ritual","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:1HBjj22wzbscIZ9sEb5dyf, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Tiësto, Jonas Blue, Rita Ora","spotify:album:1BsVW2iNL53ZJY573fjHKK","The London Sessions","1","4","198995","","2020-06-20T17:38:05Z"
"spotify:track:69zxj1EFDfAouZu9JDmQld","Secrets - Radio Edit","spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z, spotify:artist:2wX6xSig4Rig5kZU6ePlWe, spotify:artist:7HqEmV7FeCi16bQyHMpIrF","Tiësto, KSHMR, VASSY","spotify:album:4p3CULd5VeCSikL0PYkoP3","Secrets (Radio Edit)","1","1","216967","","2020-06-20T17:34:08Z"
"spotify:track:4CVOUJki8YUWol3jhLphgs","Power","spotify:artist:6BrvowZBreEkXzJQMpL174, spotify:artist:2wX6xSig4Rig5kZU6ePlWe","Hardwell, KSHMR","spotify:album:4G19LdhYXHY60QJepiSVbE","Power","1","1","148837","","2020-06-20T17:30:25Z"
"spotify:track:78XfOXpUShe7mFwhjBEd94","My Best Life (feat. Mike Waters) - Club Mix","spotify:artist:2wX6xSig4Rig5kZU6ePlWe, spotify:artist:35rZNMlMkBs7ghHmGKt0xq","KSHMR, Mike Waters","spotify:album:499pxoME8SyDn5lwogpwrE","My Best Life (feat. Mike Waters) [Club Mix]","1","1","198533","","2020-06-20T17:24:25Z"
"spotify:track:77rj41HJ2iSYuJYdcsucFq","No Regrets (feat. Krewella) - KAAZE Remix","spotify:artist:2wX6xSig4Rig5kZU6ePlWe, spotify:artist:47BEc2RoW53owMyxacXWdV, spotify:artist:0Cd6nHYwecCNM1sVEXKlYr, spotify:artist:6WGE3kO8ULME2ErBcOksSR","KSHMR, Yves V, Krewella, KAAZE","spotify:album:6Fc767MWBVksSLL0Au46yZ","No Regrets (feat. Krewella) [KAAZE Remix]","1","1","207587","","2020-06-20T17:20:47Z"
"spotify:track:2DqhE7xzpGNsKYbptqblJg","Good Things Fall Apart vs. Sad Songs (With Said The Sky feat. Annika Wells)","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:50JJSqHUf2RQ9xsHs0KMHg, spotify:artist:4LZ4De2MoO3lP6QaNCfvcu, spotify:artist:0kErUwb6xgWfkdn0RyZWHZ","ILLENIUM, Jon Bellion, Said the Sky, Annika Wells","spotify:album:6KICcLGlQnS7908qVzbhP6","ASCEND (Tour Edits)","1","3","366252","","2020-06-20T17:06:19Z"
"spotify:track:4ipRnhSMOaVeLCCo5sPY9K","FiNCHiBOY","spotify:artist:1ZyqnbV7Brg5LgyS4EZCUD","FiNCH ASOZiAL","spotify:album:2XTORm9FlIAjLcTqrguBhM","Finchi's Love Tape","1","4","170773","","2020-06-20T16:20:51Z"
"spotify:track:18danT1iBcCyLbLTCDUr71","Chaya - Remix","spotify:artist:3gkbRDj7pkIylWVBpRfrQf","Nura","spotify:album:1KNme0ydcz7w1rAJaeBM8o","Chaya (Remix)","1","1","183870","","2020-06-20T15:54:15Z"
"spotify:track:4Qy2Eo9URGWbV4VzwBTdxU","Scarface (feat. Capo & Rick Ross)","spotify:artist:2JwyRtuXf2l6sTnSnGVIa1, spotify:artist:5y9wg9qkGBl0n9v9RzaPKu, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Farid Bang, Capo, Rick Ross","spotify:album:26GpISCXGRAIScjyFcdEOk","Genkidama","1","12","181293","","2020-06-14T21:22:19Z"
"spotify:track:3qT2eKpWNq5cze7kGGORDZ","DAS RENNEN","spotify:artist:18ISxWwWjV6rPLoVCXf1dz","RIN","spotify:album:38xCCfybcmBDFD1HVyHhSy","DAS RENNEN","1","1","193684","","2020-06-14T08:58:47Z"
"spotify:track:5CqkgDH8QZjSqqI3HmYxDD","Airwaves","spotify:artist:34LetYSjEuG2fBb4Z8PwPg","Pashanim","spotify:album:4ZylcATH7a5JkgNNGXxwhJ","Airwaves","1","1","178932","","2020-06-06T13:37:06Z"
"spotify:track:2ISSQPb9LHHiV6ng2NXosL","Beautiful Now","spotify:artist:2qxJFvFYMEDqd7ui6kSAcq, spotify:artist:50JJSqHUf2RQ9xsHs0KMHg","Zedd, Jon Bellion","spotify:album:4jKdXIJckKh7la6xHuKwRT","True Colors","1","3","218293","","2020-06-05T15:15:36Z"
"spotify:track:62Fd9yRbSJTmuxqdzT1ytU","Ebony Eyes - Original Edit","spotify:artist:6mUjbb9eMEXtOS9oSPwYjg, spotify:artist:0DtuqUyBMjKumYHiEUpZ0H, spotify:artist:2QeZvpGelZ3xBGgr3CgIld, spotify:artist:3Isy6kedDrgPYoTS1dazA9","Rico Bernasconi, Tuklan, A-Class, Sean Paul","spotify:album:23llnsLen80trEu9qcRMag","Ebony Eyes","1","1","196616","","2020-06-04T13:33:02Z"
"spotify:track:7ajoc4FfovSUmNzreq8S8x","Girlfriend","spotify:artist:1VBflYyxBhnDc9uVib98rw","Icona Pop","spotify:album:1jwwRnvQrykmQwyPzfVZJt","Girlfriend","1","1","170633","","2020-05-28T14:47:44Z"
"spotify:track:1a5XzsdDDWR7HMwvmXtNlB","She Makes Me Go - Radio Edit","spotify:artist:7hQmAXAzWI6D350VTgkKTG, spotify:artist:3Isy6kedDrgPYoTS1dazA9","Arash, Sean Paul","spotify:album:14iCKQyly6KKlQQNrf86GP","She Makes Me Go","1","1","178280","","2020-05-28T13:23:40Z"
"spotify:track:0UmXSUCoE2I67n8ERd0Hdi","Boom Boom","spotify:artist:07Q9n9pbwR6jQ8xH4SA46b","Justice Crew","spotify:album:4kc6vrABh87kQ4onFSDPLq","Live By The Words","1","6","187026","","2020-05-28T09:39:22Z"
"spotify:track:4qMaMU4zVdMDHXWmOFgpBP","Evacuate The Dancefloor","spotify:artist:0N0d3kjwdY2h7UVuTdJGfp","Cascada","spotify:album:2SRAwcdO1S0wftcsu6MUEb","Evacuate The Dancefloor","1","1","206360","","2020-05-28T08:16:11Z"
"spotify:track:60Qa4MfNC1dgVfuDF6rgMS","Troublemaker","spotify:artist:6MF9fzBmfXghAz953czmBC","Taio Cruz","spotify:album:0TjgUvNEDN2PegfZVkoggi","TY.O (International Version)","1","2","220280","","2020-05-28T08:09:44Z"
"spotify:track:0hxdJjR8w2tiKTGqQN3AS0","Hamma! - Single Edit","spotify:artist:3gemH8D6fpu12DmTmUZYAL","Culcha Candela","spotify:album:6d9tHAdjmEoGOYzrGA81qe","Culcha Candela","1","1","209453","","2020-05-28T07:45:08Z"
"spotify:track:0CAfXk7DXMnon4gLudAp7J","Low (feat. T-Pain)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:3aQeKQSyrW4qWr35idm0cy","Flo Rida, T-Pain","spotify:album:5j1wrOAOm5KFd17pPiSvle","Mail on Sunday","1","5","231400","","2020-05-28T07:35:21Z"
"spotify:track:1nAGuIZXz6vb8XW0xiMqic","Papi","spotify:artist:2DlGxzQSjYe5N6G9nkYghR","Jennifer Lopez","spotify:album:3sysiYphqNRQw7VKLCg1yE","Love?","1","6","223493","","2020-05-27T14:16:40Z"
